BSB Number,Account Number,Transaction Date,Narration,Cheque Number,Debit,Credit,Balance,Transaction Type
999-999,999990,03/10/2022,Amart,,-29.029,,431.44634,WDL
999-999,999990,03/10/2022,internet,,-163.995,,460.47534,WDL
999-999,999990,03/10/2022,Amart,,,32.045,624.4703400000001,DEP
999-999,999990,30/09/2022,BARBER,,,67.86,592.42534,DEP
999-999,999990,30/09/2022,tax,,-3.77,,524.56534,FEE
999-999,999990,30/09/2022,Repay,,,53.07782999999999,528.3353400000001,DEP
999-999,999990,29/09/2022,car,,-134.82651,,475.2575100000001,WDL
999-999,999990,26/09/2022,rent,,-25.594530000000002,,610.08402,WDL
999-999,999990,26/09/2022,game,,,56.55,635.6785500000001,DEP
999-999,999990,26/09/2022,electricity,,-29.029,,579.12855,WDL
999-999,999990,26/09/2022,Repay,,-163.995,,608.15755,WDL
999-999,999990,21/09/2022,birthday,,,9.048,772.15255,DEP
999-999,999990,20/09/2022,INTEREST,,-43.1665,,763.10455,WDL
999-999,999990,19/09/2022,rent,,,56.55,806.2710500000001,DEP
999-999,999990,19/09/2022,alcohol,,-29.029,,749.7210500000001,WDL
999-999,999990,19/09/2022,alcohol,,-163.995,,778.7500500000001,WDL
999-999,999990,14/09/2022,Amart,,-7.54,,942.7450500000001,WDC
999-999,999990,14/09/2022,transfer,,,5.655,950.28505,DEP
999-999,999990,12/09/2022,rent,,,11.31,944.6300500000001,DEP
999-999,999990,12/09/2022,payoff,,-155.5125,,933.3200500000002,WDL
999-999,999990,12/09/2022,IOD,,,56.55,1088.83255,DEP
999-999,999990,12/09/2022,payoff,,-29.029,,1032.2825500000001,WDL
999-999,999990,12/09/2022,TYPO,,-163.995,,1061.3115500000001,WDL
999-999,999990,12/09/2022,BARBER,,-6.597499999999999,,1225.30655,WDL
999-999,999990,12/09/2022,IOD,,,13.0065,1231.90405,DEP
999-999,999990,12/09/2022,fuel,,,11.31,1218.89755,DEP
999-999,999990,07/09/2022,food,,,13.949000000000002,1207.58755,DEP
